Time,Cluster1_Intensity,Cluster1_NormalForce,Cluster1_ShearForce_x,Cluster1_ShearForce_y,Cluster2_Intensity,Cluster2_NormalForce,Cluster2_ShearForce_x,Cluster2_ShearForce_y,shear1_forcex,shear1_forcey,shear2_forcex,shear2_forcey
5.2,94254,1.451828528,-1.154005148,0.636901484,,,,,-0.789696698,1.210370296,,
5.3,91675,1.434395665,-1.013491245,0.416968002,,,,,-0.856835316,0.972348706,,
5.5,88796,1.414691757,-1.465565672,-0.412463123,,,,,-1.039454907,0.556904056,,
5.6,89411,1.418922642,-1.457367206,-0.202464303,,,,,-1.16482883,0.329093125,,
5.8,91387,1.432436224,-2.021216341,-0.76757938,,,,,-1.421745417,9.09E-05,,
5.9,103831,1.514833003,-2.514468075,-0.950301287,,,,,-1.749562512,-0.285026983,,
6.1,108694,1.545828639,-1.7033312,-1.16323325,,,,,-1.73569311,-0.548489031,,
6.2,112056,1.566884446,-1.553480198,-0.760846725,,,,,-1.681029212,-0.612196368,,
6.4,115587,1.588681989,-1.036022915,-1.451316421,,,,,-1.487527262,-0.863932462,,
6.5,123753,1.637906987,-1.120930857,-1.120930857,,,,,-1.377548317,-0.941031997,,
6.7,127096,1.657604443,-0.943592964,-0.614769792,,,,,-1.247361691,-0.843153321,,
6.8,130437,1.677039702,-1.148620246,0.298470755,,,,,-1.217739254,-0.500666061,,
7,141136,1.737697919,-1.538325281,-0.946969873,,,,,-1.31391507,-0.634557215,,
7.1,140885,1.736301006,-1.127882733,-0.186971377,,,,,-1.258105366,-0.500281457,,
7.3,147520,1.772834147,-1.316062868,-0.308878828,,,,,-1.275492617,-0.442860666,,
7.4,138996,1.725749078,-0.323741521,1.317488338,,,,,-0.989967281,0.085244049,,
7.6,140710,1.73532635,-1.250015875,0,,,,,-1.067981861,0.059670834,,
7.8,133931,1.697106919,1.023066404,0,,,,,-0.440667373,0.041769583,,
7.9,136457,1.711455951,1.003360392,0.389056919,,,,,-0.00745904,0.145955785,,
8.1,134385,1.699695546,0,0,,,,,-0.005221328,0.102169049,,
8.2,137361,1.716559667,0.839964345,1.252322765,,,,,0.248334375,0.447215165,,
8.4,133333,1.693690686,1.327704921,0.7860464,,,,,0.57214554,0.548864536,,
8.5,123687,1.637515521,1.10912081,0.961256773,,,,,0.733238121,0.672582207,,
8.7,117823,1.602322173,1.091002205,0.166014146,,,,,0.840567347,0.520611789,,
8.8,99088,1.483964338,1.130139224,0.792958202,,,,,0.92743891,0.602315713,,
9,93573,1.447245035,0.852506066,1.327897152,,,,,0.904959057,0.819990145,,
9.1,84593,1.385454221,0.614956477,0.987176654,,,,,0.817958283,0.870146098,,
9.3,81025,1.360182339,0.834962313,0.197516371,,,,,0.823059492,0.66835718,,
9.4,79921,1.352276943,0.649409769,0.799389326,,,,,0.770964575,0.707666823,,
9.5,74625,1.313776323,0,0.848053869,,,,,0.539675202,0.749782937,,
9.7,69633,1.27658706,0.155073131,0.879972162,,,,,0.424294581,0.788839705,,
9.8,69361,1.274535063,0.376828487,1.071637699,,,,,0.410054753,0.873679103,,
10,68085,1.264872872,-0.411454538,0.729695788,,,,,0.163601966,0.830484108,,
10.1,68540,1.268325054,0,0,,,,,0.114521376,0.581338876,,
10.2,70320,1.281757939,0.522002575,0.904698457,,,,,0.236765736,0.67834675,,
10.4,75494,1.320160153,0,1.244170221,,,,,0.165736015,0.848093791,,
10.5,73346,1.304332409,-0.167123479,-0.819899721,,,,,0.065878167,0.347695738,,
10.7,75274,1.318546485,-0.925481101,-0.001510763,,,,,-0.231529614,0.242933788,,
10.8,75618,1.321068933,-0.667576062,1.548514979,,,,,-0.362343548,0.634608145,,
11,73353,1.304384253,-0.334007304,1.110262487,,,,,-0.353842675,0.777304448,,
11.1,72655,1.299206172,-1.409617966,-0.032832372,,,,,-0.670575262,0.534263402,,
11.3,69884,1.278478252,-1.247862277,1.081858629,,,,,-0.843761367,0.69854197,,
11.4,72190,1.295747,-1.03553613,0.371055039,,,,,-0.901293796,0.600295891,,
11.5,70055,1.27976537,-0.494027357,1.263105861,,,,,-0.779113864,0.799138882,,
11.7,68892,1.270990571,-1.589818527,0.472780791,,,,,-1.022325263,0.701231455,,
11.8,69719,1.277235295,-0.222275331,1.130412172,,,,,-0.782310283,0.82998567,,
12,69995,1.27931387,-0.85322917,1.047612017,,,,,-0.803585949,0.895273574,,
12.1,68621,1.268938826,-0.391039319,1.262986729,,,,,-0.67982196,1.00558752,,
12.2,72672,1.299332491,-0.358775917,0.772487466,,,,,-0.583508147,0.935657504,,
12.4,73653,1.306604496,-0.969794879,0.805727989,,,,,-0.699394167,0.89667865,,
